"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"MARUTI","EQ","07-Mar-2025","11,666.40","11,650.00","11,742.30","11,601.00","11,667.80","11,664.15","11,652.39","2,59,055","3,01,86,08,722.20","40,405","1,70,285","65.73"
"MARUTI","EQ","10-Mar-2025","11,664.15","11,600.00","11,697.90","11,533.65","11,571.40","11,586.05","11,615.35","1,53,894","1,78,75,33,102.60","34,457","70,717","45.95"
"MARUTI","EQ","11-Mar-2025","11,586.05","11,579.50","11,692.00","11,510.00","11,660.00","11,646.95","11,604.05","2,45,822","2,85,25,30,271.70","57,626","1,06,093","43.16"
"MARUTI","EQ","12-Mar-2025","11,646.95","11,620.80","11,723.95","11,522.00","11,595.00","11,640.10","11,615.85","2,49,361","2,89,65,38,780.35","40,536","1,48,407","59.51"
"MARUTI","EQ","13-Mar-2025","11,640.10","11,634.80","11,685.00","11,489.75","11,519.60","11,513.80","11,576.03","2,60,736","3,01,82,86,469.55","42,350","1,54,840","59.39"
"MARUTI","EQ","17-Mar-2025","11,513.80","11,513.80","11,752.95","11,456.35","11,531.35","11,553.70","11,575.21","2,75,581","3,18,99,09,304.65","52,144","1,47,309","53.45"
"MARUTI","EQ","18-Mar-2025","11,553.70","11,560.05","11,755.45","11,501.00","11,693.00","11,714.55","11,655.02","3,73,219","4,34,98,76,295.10","72,754","2,12,556","56.95"
"MARUTI","EQ","19-Mar-2025","11,714.55","11,700.00","11,714.45","11,547.00","11,615.00","11,615.55","11,618.99","4,76,555","5,53,70,86,611.70","63,268","3,23,698","67.92"
"MARUTI","EQ","20-Mar-2025","11,615.55","11,699.90","11,765.00","11,588.00","11,762.00","11,730.20","11,698.90","3,79,421","4,43,88,09,113.75","75,811","2,48,938","65.61"
"MARUTI","EQ","21-Mar-2025","11,730.20","11,780.00","11,921.70","11,705.80","11,769.20","11,732.80","11,805.40","5,60,565","6,61,76,91,502.55","73,489","3,52,916","62.96"
"MARUTI","EQ","24-Mar-2025","11,732.80","11,779.95","11,990.00","11,742.05","11,917.00","11,922.25","11,885.49","3,59,033","4,26,72,82,655.85","84,229","1,99,416","55.54"
"MARUTI","EQ","25-Mar-2025","11,922.25","11,951.40","12,075.25","11,800.00","11,824.90","11,868.90","11,930.03","5,14,283","6,13,54,10,879.15","72,904","3,04,069","59.12"
"MARUTI","EQ","26-Mar-2025","11,868.90","11,807.00","11,868.90","11,710.00","11,745.00","11,734.30","11,773.65","4,78,517","5,63,38,93,032.95","89,350","3,13,675","65.55"
"MARUTI","EQ","27-Mar-2025","11,734.30","11,773.15","11,898.00","11,638.00","11,700.00","11,721.95","11,738.73","6,45,787","7,58,07,16,422.05","1,09,418","4,08,639","63.28"
"MARUTI","EQ","28-Mar-2025","11,721.95","11,699.05","11,745.95","11,400.10","11,490.15","11,522.15","11,551.51","5,41,795","6,25,85,48,661.75","1,24,522","3,60,361","66.51"
"MARUTI","EQ","01-Apr-2025","11,522.15","11,480.00","11,545.80","11,290.00","11,455.25","11,481.10","11,415.76","4,98,244","5,68,78,32,377.15","96,268","3,05,304","61.28"
"MARUTI","EQ","02-Apr-2025","11,481.10","11,481.10","11,732.00","11,410.05","11,691.00","11,716.10","11,663.86","4,52,994","5,28,36,58,091.10","80,324","2,70,713","59.76"
"MARUTI","EQ","03-Apr-2025","11,716.10","11,630.50","11,802.95","11,611.05","11,646.00","11,688.10","11,706.81","3,26,624","3,82,37,25,316.15","44,000","2,20,597","67.54"
"MARUTI","EQ","04-Apr-2025","11,688.10","11,600.00","11,630.00","11,330.00","11,482.00","11,482.00","11,427.18","3,55,785","4,06,56,18,247.40","59,574","2,30,762","64.86"
"MARUTI","EQ","07-Apr-2025","11,482.00","11,105.60","11,358.50","11,059.45","11,352.95","11,329.75","11,224.77","6,02,353","6,76,12,71,433.85","1,09,199","3,71,004","61.59"
"MARUTI","EQ","08-Apr-2025","11,329.75","11,530.00","11,550.35","11,290.05","11,436.00","11,458.90","11,447.67","6,29,968","7,21,16,68,457.30","93,920","3,99,579","63.43"
"MARUTI","EQ","09-Apr-2025","11,458.90","11,460.10","11,538.70","11,425.00","11,480.00","11,457.40","11,475.31","2,55,114","2,92,75,11,554.20","50,927","1,28,672","50.44"
"MARUTI","EQ","11-Apr-2025","11,457.40","11,480.35","11,678.75","11,480.00","11,609.00","11,599.05","11,603.45","2,31,420","2,68,52,69,869.90","45,734","1,25,277","54.13"
"MARUTI","EQ","15-Apr-2025","11,599.05","11,790.00","11,940.00","11,680.00","11,825.00","11,855.00","11,869.86","4,58,593","5,44,34,34,939.00","68,741","3,02,369","65.93"
"MARUTI","EQ","16-Apr-2025","11,855.00","11,768.00","11,768.00","11,615.00","11,665.00","11,664.00","11,670.99","4,70,494","5,49,11,29,574.00","68,073","2,53,253","53.83"
"MARUTI","EQ","17-Apr-2025","11,664.00","11,664.00","11,728.00","11,525.00","11,665.00","11,695.00","11,645.95","3,02,146","3,51,87,77,343.00","62,794","1,37,435","45.49"
"MARUTI","EQ","21-Apr-2025","11,695.00","11,695.00","11,769.00","11,588.00","11,769.00","11,745.00","11,700.58","3,18,493","3,72,65,51,467.00","49,266","1,79,773","56.44"
"MARUTI","EQ","22-Apr-2025","11,745.00","11,770.00","11,788.00","11,615.00","11,744.00","11,734.00","11,702.80","5,16,753","6,04,74,56,049.00","1,02,717","3,06,685","59.35"
"MARUTI","EQ","23-Apr-2025","11,734.00","11,799.00","11,971.00","11,729.00","11,900.00","11,907.00","11,827.33","4,93,839","5,84,07,98,795.00","78,908","2,76,132","55.92"
"MARUTI","EQ","24-Apr-2025","11,907.00","11,940.00","12,040.00","11,858.00","11,901.00","11,894.00","11,917.68","3,87,863","4,62,24,27,333.00","67,998","1,69,785","43.77"
"MARUTI","EQ","25-Apr-2025","11,894.00","11,902.00","12,046.00","11,598.00","11,650.00","11,698.00","11,767.59","9,06,266","10,66,45,69,973.00","1,30,970","4,21,477","46.51"
"MARUTI","EQ","28-Apr-2025","11,698.00","11,428.00","11,896.00","11,289.00","11,809.00","11,846.00","11,702.99","4,57,303","5,35,18,10,411.00","80,996","1,85,541","40.57"
"MARUTI","EQ","29-Apr-2025","11,846.00","11,812.00","11,940.00","11,741.00","11,810.00","11,841.00","11,826.38","4,55,596","5,38,80,49,220.00","86,819","2,33,971","51.35"
"MARUTI","EQ","30-Apr-2025","11,841.00","11,825.00","12,325.00","11,800.00","12,218.00","12,257.00","12,153.90","9,67,250","11,75,58,59,522.00","1,05,465","5,57,699","57.66"
"MARUTI","EQ","02-May-2025","12,257.00","12,257.00","12,727.00","12,250.00","12,390.00","12,406.00","12,523.32","7,86,089","9,84,44,47,650.00","1,57,884","3,56,591","45.36"
"MARUTI","EQ","05-May-2025","12,406.00","12,490.00","12,490.00","12,362.00","12,449.00","12,458.00","12,437.88","2,70,014","3,35,84,01,660.00","49,136","1,56,790","58.07"
"MARUTI","EQ","06-May-2025","12,458.00","12,438.00","12,599.00","12,371.00","12,560.00","12,581.00","12,548.62","4,14,921","5,20,66,87,661.00","65,850","2,51,052","60.51"
