"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"MANKIND","EQ","07-Mar-2025","2,274.30","2,279.95","2,335.65","2,253.15","2,309.00","2,316.05","2,307.84","6,35,714","1,46,71,24,086.95","1,15,831","4,01,789","63.20"
"MANKIND","EQ","10-Mar-2025","2,316.05","2,326.95","2,326.95","2,250.00","2,250.05","2,259.30","2,282.94","3,19,034","72,83,34,212.65","75,069","1,80,285","56.51"
"MANKIND","EQ","11-Mar-2025","2,259.30","2,259.30","2,269.90","2,200.00","2,210.85","2,210.20","2,215.22","4,01,039","88,83,90,061.10","62,971","2,61,128","65.11"
"MANKIND","EQ","12-Mar-2025","2,210.20","2,229.80","2,229.80","2,132.30","2,160.50","2,166.45","2,156.32","8,68,227","1,87,21,71,381.75","1,07,823","5,87,903","67.71"
"MANKIND","EQ","13-Mar-2025","2,166.45","2,190.20","2,232.10","2,151.10","2,207.00","2,201.15","2,199.77","8,66,934","1,90,70,51,728.70","65,596","6,22,862","71.85"
"MANKIND","EQ","17-Mar-2025","2,201.15","2,201.55","2,221.95","2,161.25","2,164.75","2,170.95","2,182.15","3,93,040","85,76,72,266.20","46,576","2,65,777","67.62"
"MANKIND","EQ","18-Mar-2025","2,170.95","2,174.95","2,189.25","2,115.10","2,152.90","2,145.80","2,141.08","8,49,992","1,81,99,04,313.75","66,692","5,34,201","62.85"
"MANKIND","EQ","19-Mar-2025","2,145.80","2,170.00","2,181.40","2,132.00","2,162.00","2,161.70","2,160.83","10,57,646","2,28,53,89,180.40","76,576","8,05,986","76.21"
"MANKIND","EQ","20-Mar-2025","2,161.70","2,184.75","2,269.00","2,166.60","2,251.00","2,244.85","2,222.81","4,33,907","96,44,91,736.65","68,757","2,34,302","54.00"
"MANKIND","EQ","21-Mar-2025","2,244.85","2,269.35","2,450.00","2,253.00","2,403.55","2,415.05","2,382.68","23,62,286","5,62,85,68,409.50","1,68,468","14,46,867","61.25"
"MANKIND","EQ","24-Mar-2025","2,415.05","2,423.55","2,423.55","2,328.00","2,370.00","2,372.15","2,367.22","5,99,027","1,41,80,29,801.20","56,289","3,38,897","56.57"
"MANKIND","EQ","25-Mar-2025","2,372.15","2,377.00","2,408.00","2,334.75","2,397.25","2,398.05","2,375.15","4,23,599","1,00,61,12,301.20","41,337","2,44,129","57.63"
"MANKIND","EQ","26-Mar-2025","2,398.05","2,415.00","2,442.00","2,361.40","2,410.00","2,403.70","2,393.68","3,51,136","84,05,05,745.40","39,115","1,79,869","51.22"
"MANKIND","EQ","27-Mar-2025","2,403.70","2,402.75","2,492.70","2,372.50","2,445.00","2,452.15","2,433.60","5,51,414","1,34,19,20,995.45","46,932","3,65,275","66.24"
"MANKIND","EQ","28-Mar-2025","2,452.15","2,467.95","2,485.00","2,411.05","2,423.60","2,424.75","2,438.78","4,79,815","1,17,01,63,234.35","50,469","3,28,705","68.51"
"MANKIND","EQ","01-Apr-2025","2,424.75","2,423.50","2,468.95","2,397.40","2,465.10","2,458.10","2,441.50","5,01,362","1,22,40,73,515.05","35,068","3,31,434","66.11"
"MANKIND","EQ","02-Apr-2025","2,458.10","2,458.10","2,470.45","2,403.00","2,416.00","2,421.90","2,427.79","1,80,549","43,83,35,782.45","26,402","90,096","49.90"
"MANKIND","EQ","03-Apr-2025","2,421.90","2,463.00","2,530.00","2,415.45","2,424.00","2,427.70","2,448.60","4,46,510","1,09,33,22,731.05","42,528","1,71,752","38.47"
"MANKIND","EQ","04-Apr-2025","2,427.70","2,429.00","2,463.45","2,405.00","2,445.00","2,451.20","2,431.30","3,93,371","95,64,02,625.15","42,897","1,72,451","43.84"
"MANKIND","EQ","07-Apr-2025","2,451.20","2,362.00","2,444.00","2,332.05","2,405.00","2,383.45","2,406.03","8,80,194","2,11,77,76,929.80","67,286","4,69,170","53.30"
"MANKIND","EQ","08-Apr-2025","2,383.45","2,408.85","2,453.05","2,335.20","2,337.00","2,347.50","2,373.32","5,27,892","1,25,28,55,163.30","59,144","3,02,085","57.22"
"MANKIND","EQ","09-Apr-2025","2,347.50","2,337.00","2,337.00","2,292.75","2,325.05","2,313.95","2,310.30","5,66,926","1,30,97,67,016.30","39,558","4,26,796","75.28"
"MANKIND","EQ","11-Apr-2025","2,313.95","2,369.00","2,384.95","2,316.00","2,333.60","2,350.50","2,349.83","2,98,765","70,20,46,133.60","24,571","1,60,471","53.71"
"MANKIND","EQ","15-Apr-2025","2,350.50","2,420.00","2,458.90","2,391.00","2,422.90","2,426.10","2,421.54","3,62,005","87,66,11,187.30","47,691","2,23,020","61.61"
"MANKIND","EQ","16-Apr-2025","2,426.10","2,425.00","2,538.10","2,418.10","2,520.00","2,520.00","2,501.58","7,64,066","1,91,13,69,052.50","59,841","5,27,921","69.09"
"MANKIND","EQ","17-Apr-2025","2,520.00","2,509.90","2,600.00","2,500.00","2,578.50","2,581.60","2,566.66","4,89,420","1,25,61,73,639.80","39,820","2,94,335","60.14"
"MANKIND","EQ","21-Apr-2025","2,581.60","2,586.30","2,609.20","2,554.50","2,580.00","2,588.40","2,586.40","3,42,055","88,46,92,110.30","17,235","2,35,153","68.75"
"MANKIND","EQ","22-Apr-2025","2,588.40","2,588.40","2,613.80","2,554.10","2,580.00","2,579.50","2,584.95","4,59,584","1,18,80,01,857.20","26,552","3,49,877","76.13"
"MANKIND","EQ","23-Apr-2025","2,579.50","2,580.00","2,586.40","2,521.70","2,556.00","2,545.50","2,545.08","4,18,141","1,06,42,01,654.20","30,696","2,81,356","67.29"
"MANKIND","EQ","24-Apr-2025","2,545.50","2,546.60","2,629.00","2,535.00","2,590.00","2,599.20","2,588.89","3,77,790","97,80,55,583.60","33,663","2,11,545","56.00"
"MANKIND","EQ","25-Apr-2025","2,599.20","2,605.00","2,642.20","2,525.00","2,535.50","2,557.50","2,560.79","4,59,518","1,17,67,29,769.70","30,234","3,22,419","70.16"
"MANKIND","EQ","28-Apr-2025","2,557.50","2,537.50","2,595.00","2,520.00","2,565.20","2,560.40","2,561.41","1,13,759","29,13,83,466.90","16,837","43,446","38.19"
"MANKIND","EQ","29-Apr-2025","2,560.40","2,560.40","2,598.50","2,539.90","2,553.00","2,556.90","2,559.03","1,05,474","26,99,10,682.30","12,984","47,923","45.44"
"MANKIND","EQ","30-Apr-2025","2,556.90","2,565.00","2,584.80","2,425.60","2,457.00","2,465.30","2,487.28","7,34,527","1,82,69,75,277.80","44,486","4,73,543","64.47"
"MANKIND","EQ","02-May-2025","2,465.30","2,467.00","2,468.00","2,358.70","2,382.10","2,385.80","2,394.05","3,80,164","91,01,29,837.20","44,641","1,90,646","50.15"
"MANKIND","EQ","05-May-2025","2,385.80","2,392.70","2,419.20","2,376.10","2,415.00","2,415.40","2,401.13","1,20,712","28,98,44,890.50","17,857","61,709","51.12"
"MANKIND","EQ","06-May-2025","2,415.40","2,415.40","2,427.90","2,350.00","2,357.00","2,368.70","2,384.26","1,89,736","45,23,79,630.30","31,450","97,738","51.51"
"MANKIND","EQ","07-May-2025","2,368.70","2,335.00","2,442.50","2,330.00","2,417.00","2,432.40","2,401.76","3,15,259","75,71,76,578.00","42,746","1,68,315","53.39"
"MANKIND","EQ","08-May-2025","2,432.40","2,432.40","2,478.70","2,385.00","2,414.00","2,439.50","2,449.06","2,72,988","66,85,63,331.00","45,166","1,45,975","53.47"
"MANKIND","EQ","09-May-2025","2,439.50","2,390.60","2,433.30","2,370.50","2,404.00","2,408.20","2,405.64","5,67,789","1,36,58,97,205.40","30,089","76,814","13.53"
"MANKIND","EQ","12-May-2025","2,408.20","2,459.90","2,528.40","2,444.00","2,498.00","2,500.00","2,494.22","4,45,726","1,11,17,37,708.00","25,087","3,23,694","72.62"
"MANKIND","EQ","13-May-2025","2,500.00","2,500.00","2,564.70","2,500.00","2,545.00","2,547.30","2,545.04","4,01,730","1,02,24,18,472.00","32,213","2,89,313","72.02"
"MANKIND","EQ","14-May-2025","2,547.30","2,545.00","2,569.90","2,480.90","2,549.00","2,554.60","2,523.14","3,07,285","77,53,22,394.40","24,932","1,90,966","62.15"
"MANKIND","EQ","15-May-2025","2,554.60","2,553.80","2,573.10","2,516.00","2,553.00","2,559.90","2,540.88","1,41,156","35,86,60,609.40","23,542","60,896","43.14"
"MANKIND","EQ","16-May-2025","2,559.90","2,561.90","2,580.00","2,532.00","2,572.00","2,572.70","2,553.76","1,82,619","46,63,64,537.50","13,696","1,16,964","64.05"
"MANKIND","EQ","19-May-2025","2,572.70","2,580.00","2,610.00","2,546.60","2,560.80","2,564.20","2,567.66","3,52,051","90,39,49,008.10","17,088","2,81,928","80.08"
"MANKIND","EQ","20-May-2025","2,564.20","2,574.00","2,587.00","2,525.40","2,534.00","2,549.20","2,554.98","3,72,767","95,24,13,934.30","29,642","2,42,490","65.05"
"MANKIND","EQ","21-May-2025","2,549.20","2,532.10","2,570.90","2,516.10","2,530.00","2,531.40","2,535.46","1,62,763","41,26,79,597.80","15,853","89,810","55.18"
